bairro_origem,bairro_destino,logradouro,observacao,peso
Casa Amarela,Alto Do Mandu,Rua Coruripe,,1
Ponto De Parada,Rosarinho,Rua Couto Magalhães,,1
Encruzilhada,Campo Grande,Rua Cristóvão Jaques,,1
Madalena,Torre,Rua Davino Pontual,,1
Madalena,Zumbi,Rua Eduardo Antônio,,1
Linha Do Tiro,Dois Unidos,Rua Eládio Camboim,,1
Gracas,Espinheiro,Rua Santo Elias,,1
Casa Forte,Casa Amarela,Rua Ernesto Rufino,,1
Ilha Joana Bezerra,Sao Jose,Rua Cabo Eutrópio,,1
Brejo De Beberibe,Passarinho,Rua da Amizade,,1
Ilha Do Retiro,Prado,Rua Padre Gabriel Mousinho,,1
Ilha Do Leite,Boa Vista,Rua Visconde de Goiana,,1
Tamarineira,Casa Amarela,Rua Guedes Pereira,,1
Tamarineira,Alto Jose Do Pinho,Rua Guimarães Peixoto,,1
Jaqueira,Tamarineira,Rua Hoel Sette,,1
Espinheiro,Aflitos,Rua Barão de Itamaracá,,1
Parnamirim,Casa Forte,Rua Jayme Loyo,,1
Campo Grande,Arruda,Rua Jerônimo Vilela,,1
Parnamirim,Santana,Rua Joaquim Soares,,1
Paissandu,Boa Vista,Rua John Gustav Peter,,1
Santana,Casa Forte,Rua Laurindo Coelho,,1
Coelhos,Santo Antonio,Rua Doutor José Mariano,,1
Santana,Poco,Rua Dr Luiz Ribeiro Bastos,,1
Apipucos,Monteiro,Rua Mandacaru,,1
Torreao,Encruzilhada,Rua Padre Miguelinho,,1
San Martin,Curado,Rua Coronel Mizael de Mendonça,,1
Coqueiral,Sancho,Rua do Nascente,,1
Campina Do Barreto,Agua Fria,Rua Marcílio Dias,,1
Apipucos,Alto Do Mandu,Rua Massaranduba,,1
Jiquia,Mangueira,Rua Palestina,,1
Casa Amarela,Vasco Da Gama,Rua Paraisópolis,,1
Alto Do Mandu,Macaxeira,Avenida Norte Miguel Arraes de Alencar,,1
Monteiro,Alto Do Mandu,Rua Siriji,,1
Campo Grande,Ponto De Parada,Rua Petronila Botelho,,1
