X,Y,bairro_X,bairro_Y,custo,caminho
Nova Descoberta,Boa Viagem,Nova Descoberta,Boa Viagem,11.0,Nova Descoberta -> Macaxeira -> Apipucos -> Caxanga -> Varzea -> Curado -> Jardim Sao Paulo -> Areias -> Barro -> Cohab -> Ibura -> Boa Viagem (Setúbal)
Afogados,Bongi,Afogados,Bongi,1.0,Afogados -> Bongi
Parnamirim,Tamarineira,Parnamirim,Tamarineira,1.0,Parnamirim -> Tamarineira
Cidade Universitaria,Varzea,Cidade Universitaria,Varzea,1.0,Cidade Universitaria -> Varzea
Santo Amaro,Recife,Santo Amaro,Recife,1.0,Santo Amaro -> Recife
